t;v
3.33889730;-0.06609507
3.34999630;-0.06615063
3.36142160;-0.06741593
3.37226200;-0.05939843
3.38323140;-0.05552522
3.39440170;-0.07064707
3.40568130;-0.05074212
3.41676660;-0.06812352
3.42810060;-0.06917860
3.43897280;-0.07388803
3.45000720;-0.08178775
3.46140250;-0.07880049
3.47255400;-0.07582172
3.48329860;-0.08020919
3.50578830;-0.06217695
3.51781340;-0.09928223
3.53045410;-0.09678126
3.54036730;-0.08840209
3.55137320;-0.08194080
3.56252020;-0.07735904
3.58474710;-0.07236857
3.59627050;-0.06428435
3.60698720;-0.06081133
3.61794550;-0.05248694
3.62941720;-0.04749073
3.63994350;-0.04120259
3.65002830;-0.03367238
3.66104270;-0.02522931
3.67218930;-0.02759192
3.68293570;-0.03110882
3.69380740;-0.01547500
3.70474220;-0.03608522
3.71596850;-0.02710878
3.72711630;-0.03031444
3.73826970;-0.02692140
3.74908790;-0.01857858
3.76035230;-0.03079567
3.77117820;-0.03977689
3.78223100;-0.03269570
3.79416380;-0.05757667
3.80446280;-0.02657352
3.81552120;-0.02122356
3.82719880;-0.01422128
3.83787130;-0.01591567
3.84898600;-0.00868450
3.86017330;-0.00695204
3.87113320;-0.00350905
3.88237140;-0.00066138
3.89344890;0.00180948
3.90461200;0.00520919
3.91565010;0.00705753
3.92687980;0.00786960
3.93787030;0.00920533
3.94972310;0.01195619
3.96006840;0.00749802
3.97108160;0.01320576
3.98219360;0.00651751
3.99327960;0.01092029
4.00433970;0.00700810
4.01566600;0.00712373
4.02652720;-0.00847162
4.03775810;-0.00554679
4.04890130;0.03353153
4.06032660;-0.00453471
4.07148360;0.01120176
4.08227720;0.00577536
4.09352410;0.00725736
4.10444060;0.01481531
4.11564320;0.00716533
4.12663530;0.01897159
4.13778950;0.01193082
4.14904910;0.01675690
4.16025280;0.03046159
4.17138990;0.02108639
4.18246280;0.03440289
4.19351950;0.02192798
4.20462460;0.03515265
4.21584930;0.03401903
4.22684710;0.02917150
4.23792210;0.03143361
4.24981890;0.02355686
4.26013740;0.02701637
4.27130760;0.01742993
4.28264800;0.01714041
4.29357470;0.01099874
4.30465780;0.01598815
4.31610040;0.02190599
4.32704710;-0.02196456
4.33798250;0.00548955
4.34910560;-0.01349275
4.36021200;-0.01001328
4.37128540;-0.00394935
4.38247860;-0.01927584
4.39376450;-0.00433908
4.40467830;-0.01799007
4.41578330;-0.00285694
4.42692810;-0.00272542
4.43815020;-0.01252137
4.44916800;0.00359217
4.46043200;-0.00677412
4.47133980;0.01224261
4.48275090;0.00026785
4.49376530;0.00370096
4.50483310;0.00693703
4.51617190;0.00805572
4.52722100;0.01378676
4.53841910;0.01255213
4.54931290;0.02058258
4.56054350;0.02010143
4.57141560;0.02436522
4.58260520;0.02289598
4.59379020;0.02365581
4.60472880;0.02760811
4.61600600;0.02337816
4.62711030;0.02790027
4.63943750;0.02811899
4.64947480;0.02142532
4.66052010;0.02499133
4.67159540;0.01957848
4.68272470;0.02187220
4.69384420;0.01536639
4.70506270;0.01724208
4.71622550;0.01521768
4.72738750;0.00839469
4.73877770;0.00768366
4.74977210;0.00228163
4.76076970;0.00539098
4.77189180;0.00123399
4.78317580;-0.00102790
4.79414110;0.00112333
4.80531540;-0.00411902
4.81670350;-0.00500079
4.82760550;-0.00762986
4.83858460;-0.01433862
4.84966080;-0.01642835
4.86106570;-0.02197741
4.87205600;-0.02248044
4.88294560;-0.02705440
4.89413140;-0.02600215
4.90526850;-0.02797045
4.91673950;-0.03059770
4.92735140;-0.02676488
4.93830940;-0.02931536
4.94943360;-0.02740042
4.96066480;-0.02494627
4.97181540;-0.02494091
4.98298620;-0.02839966
4.99406390;-0.02913395
5.00504520;-0.02738376
5.01629040;-0.03032870
5.02731960;-0.02750868
5.03856010;-0.03241663
5.04952710;-0.03257445
5.06082090;-0.02922009
5.07194130;-0.03458925
5.08296090;-0.03266683
5.09405590;-0.03866322
5.10532830;-0.04511993
5.11640760;-0.04185333
5.12745510;-0.04768736
5.13874730;-0.04582489
5.15002690;-0.04678088
5.16085710;-0.04116490
5.17217800;-0.04310194
5.18307070;-0.04428627
5.19416130;-0.03704530
5.20531810;-0.03791305
5.21650370;-0.03210299
5.22752720;-0.03027300
5.23881190;-0.03212515
5.24988030;-0.02774803
5.26094830;-0.02835188
5.27216740;-0.02490214
5.28321970;-0.02384565
5.29512100;-0.01895497
5.30533470;-0.02063237
5.31647170;-0.01753392
5.32764260;-0.01356830
5.33876280;-0.01546750
5.34967940;-0.01466582
5.36093920;-0.01735015
5.37202800;-0.01383928
5.38309490;-0.01300087
5.39434410;-0.01491200
5.40550780;-0.01050670
5.41626570;-0.00875789
5.42760010;-0.00437274
5.43872420;-0.00894474
5.45044720;-0.00640926
5.46080150;-0.00485327
5.47190390;-0.00516798
5.48295880;0.00130952
5.49416780;0.00247247
5.50537370;0.00167439
5.51651590;0.00480751
5.52757850;0.00247029
